,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
91,1,0.830633873,32,0,0.029757619,4166.0,1,3,0,0,0.0
92,0,0.061754183,43,0,3200.0,,14,0,1,0,1.0
93,0,0.03462622,72,0,55.0,,3,0,0,0,0.0
94,1,0.794557906,32,1,1954.0,,7,0,1,0,0.0
95,0,0.691714724,41,0,0.226544309,7300.0,10,0,0,0,0.0
96,1,0.19873338,41,0,10333.0,,10,0,8,0,1.0
97,1,0.001986987,77,0,0.208261499,14500.0,10,0,1,0,0.0
98,0,0.002418492,43,0,0.056323946,6000.0,3,0,0,0,0.0
99,1,0.023255814,60,0,0.0,2675.0,1,0,0,0,2.0
100,1,0.230358092,62,1,1.916779738,2210.0,16,1,2,0,0.0
101,1,0.061226905,39,0,0.432293967,11320.0,14,0,5,0,5.0
102,0,0.147292635,40,0,0.067548418,6350.0,2,0,1,0,2.0
103,1,0.9999999,56,1,1762.0,,3,1,1,0,0.0
104,0,0.031977669,38,0,0.831435712,3600.0,6,0,1,0,0.0
105,1,0.8035236,58,2,0.170923953,6850.0,4,0,0,0,0.0
106,1,0.92338441,45,1,0.388447851,3652.0,3,4,1,0,3.0
107,0,0.514848515,34,0,0.371279255,4400.0,4,0,1,0,3.0
108,1,0.532624327,62,1,1155.0,,6,0,0,0,0.0
109,1,1.112956811,33,4,0.142009829,5900.0,3,2,0,0,0.0
110,1,0.968274663,31,0,0.145906228,2857.0,2,0,0,0,0.0
111,1,0.163346614,39,0,0.217797034,6000.0,4,0,0,0,3.0
112,1,0.9999999,58,0,80.0,,1,2,0,0,0.0
113,1,0.946107784,55,0,0.846846847,4217.0,23,0,1,0,0.0
114,0,0.296063627,34,0,0.066972077,4583.0,10,0,0,0,0.0
115,0,0.585622622,47,0,2.587664192,1750.0,8,0,2,0,2.0
116,1,0.95068234,27,1,0.163586792,3300.0,10,0,0,0,2.0
117,0,0.024848953,58,0,0.203979602,10000.0,9,0,1,0,1.0
118,1,0.431032943,49,2,0.45046344,4854.0,9,0,1,1,2.0
119,1,0.281952753,61,0,0.641530991,3500.0,11,1,1,0,0.0
120,0,0.090944055,72,0,484.0,,3,0,0,0,0.0
121,0,0.0,51,0,0.290202799,3500.0,5,0,1,0,1.0
122,1,0.453716407,47,0,0.382463466,2394.0,4,0,0,0,1.0
123,0,0.347023934,59,0,0.127826488,4333.0,7,0,0,0,0.0
124,1,0.9999999,34,0,0.020349875,2800.0,0,0,0,0,4.0
125,1,0.227610774,33,0,0.893076608,2440.0,5,0,1,0,2.0
126,1,0.121702427,48,1,0.567881329,3100.0,12,0,1,0,2.0
127,1,0.175310265,55,3,0.086535458,3200.0,17,2,0,1,1.0
128,0,0.136206955,39,1,0.317201276,5330.0,8,0,1,0,4.0
129,1,0.9999999,30,2,0.220915842,1615.0,3,1,0,0,1.0
130,0,0.769896436,52,0,0.333631828,7816.0,10,0,1,0,0.0
131,0,0.9999999,77,0,5.0,,1,0,0,0,0.0
132,0,0.071276949,74,0,0.362802641,2725.0,10,0,1,0,0.0
133,1,0.650321464,40,0,0.373477255,6484.0,9,0,0,0,0.0
134,0,0.9999999,28,0,0.344852412,4166.0,7,0,1,0,1.0
135,1,0.439440927,57,0,0.797506739,5935.0,15,0,2,0,0.0
136,1,0.200109574,60,1,0.540776896,4916.0,8,0,2,2,1.0
137,0,0.990733642,58,0,3607.0,0.0,10,0,3,0,0.0
138,0,1.080975364,63,1,6.29379562,2739.0,9,0,3,1,0.0
139,0,0.008752851,41,0,0.431313737,5000.0,5,0,2,0,2.0
140,1,0.349333062,43,0,0.38238615,5313.0,13,0,1,0,0.0
141,1,0.068310128,50,1,0.94924838,7250.0,20,0,3,0,0.0
142,0,0.77263639,32,0,0.090909091,1957.0,2,0,0,1,2.0
143,0,0.087092715,68,0,0.248569296,4018.0,7,0,1,0,0.0
144,0,0.527444317,60,1,0.235255995,4628.0,10,0,0,1,0.0
145,0,0.02421578,55,0,0.937031484,2000.0,7,0,1,0,0.0
146,0,0.609144079,39,0,3656.0,,7,0,2,0,3.0
147,0,0.062214033,46,0,1.022488756,2000.0,13,0,2,0,0.0
148,1,1.010663112,36,5,0.314035818,2400.0,5,2,0,1,2.0
149,0,0.290056815,57,0,0.489111032,2800.0,11,0,1,0,0.0
150,0,0.834470345,51,0,0.496090423,12916.0,14,0,2,0,3.0
151,0,0.611033747,35,1,0.499613103,3876.0,12,0,0,1,0.0
152,1,0.245727556,84,0,0.220926358,3000.0,8,0,0,0,1.0
153,1,0.504875941,40,2,0.236601579,4813.0,13,0,1,0,1.0
154,0,0.182990388,62,0,0.349489241,4600.0,10,0,1,0,0.0
155,1,0.9999999,40,0,0.0,4300.0,0,1,0,0,1.0
156,1,0.0,47,1,1.813374806,4500.0,13,0,4,1,3.0
157,0,0.0,54,0,0.125,4167.0,10,0,0,0,0.0
158,0,0.260103392,40,0,0.34351806,8083.0,12,0,2,0,0.0
159,0,0.115630057,50,0,1.304616849,2100.0,12,0,2,0,2.0
160,0,0.83261914,44,0,0.301488558,4500.0,5,0,2,0,0.0
161,0,0.0,65,0,0.416379181,6666.0,10,0,1,0,0.0
162,0,0.548055726,35,0,0.472631842,4000.0,5,0,2,0,1.0
163,1,0.730395334,27,0,2551.0,,9,0,1,0,0.0
164,0,0.068954317,35,1,0.212315074,2500.0,6,0,0,0,2.0
165,1,0.9999999,32,5,1.688206785,2475.0,5,1,2,1,0.0
166,1,0.0,77,0,0.0,5000.0,3,0,0,0,0.0
167,0,0.150971778,53,0,0.465404613,7500.0,8,0,3,0,0.0
168,1,0.410012995,54,1,0.255780046,4800.0,10,1,0,0,2.0
169,1,0.447510498,43,2,0.221118768,4933.0,3,1,0,0,3.0
170,0,0.000392131,89,0,0.0,4781.0,2,0,0,0,0.0
171,1,1.892215569,64,1,2398.0,,3,2,1,1,0.0
172,0,0.175471524,38,0,0.159097401,3500.0,3,0,0,0,0.0
173,1,0.9999999,40,0,0.474947228,9000.0,3,3,1,0,2.0
174,0,0.0,42,0,0.680321873,2733.0,5,0,2,0,0.0
175,1,0.006619235,45,2,0.285218146,9213.0,7,0,2,0,4.0
176,1,0.755407654,45,0,0.092575449,5400.0,3,4,0,6,1.0
177,0,0.014816088,80,0,0.390536488,3000.0,23,0,2,0,0.0
178,1,0.87445022,43,0,0.337666048,7000.0,6,0,1,0,0.0
179,0,0.903132568,31,0,0.161498505,6352.0,4,0,0,0,2.0
180,0,0.0,57,0,0.505469846,3564.0,9,0,1,0,0.0
181,1,0.682417083,40,2,0.212115347,5166.0,2,3,0,1,1.0
182,0,0.531963331,64,2,0.480082158,18500.0,19,0,3,0,1.0
183,1,0.973164634,61,1,0.78550149,6041.0,12,0,1,0,0.0
184,1,0.964688364,46,3,0.354445635,7467.0,6,2,1,0,0.0
185,0,0.400644885,47,0,0.101305042,10650.0,10,0,1,1,1.0
186,0,0.064566307,59,0,3800.0,,9,0,5,0,0.0
187,1,0.810904419,53,6,0.53594132,6134.0,16,1,2,0,3.0
188,1,0.9999999,36,0,0.0,8400.0,0,2,0,0,0.0
189,1,0.399370769,64,0,0.883748517,5900.0,22,0,2,0,1.0
190,1,0.052535903,30,0,349.0,,10,0,0,0,1.0
191,1,1.029980013,34,3,0.898946063,1612.0,4,0,2,0,2.0
192,0,0.245528275,81,0,0.15133438,3184.0,3,0,0,0,0.0
193,0,0.136693165,67,0,0.01349775,6000.0,3,0,0,0,0.0
194,1,0.851293445,34,2,0.434964769,5250.0,9,1,2,0,0.0
195,0,0.9999999,33,0,0.351824088,2000.0,2,0,0,0,1.0
196,0,0.03721824,66,0,1.044145873,2083.0,10,0,2,0,0.0
197,1,0.017319231,50,0,0.771871355,6000.0,14,0,4,0,1.0
198,0,0.066651283,50,0,0.012737263,4003.0,3,0,0,0,0.0
199,0,0.035085855,48,0,0.118888111,10000.0,9,0,1,0,2.0
200,1,0.429473354,43,0,0.484969407,3758.0,6,0,1,0,1.0
201,0,0.005719721,59,0,1622.0,,15,0,1,0,4.0
202,1,0.9999999,59,2,0.055234087,1900.0,2,3,0,1,0.0
203,0,0.0,45,0,0.599133261,4614.0,10,0,2,0,1.0
204,0,0.022799349,68,0,1.104952294,2200.0,9,0,2,0,0.0
205,0,0.18320315,71,0,0.217518832,15000.0,14,0,2,0,1.0
206,1,0.952187772,60,0,0.311743341,3303.0,6,0,1,0,0.0
207,0,0.044728563,71,0,0.256972461,5700.0,8,0,1,0,0.0
208,1,0.9999999,43,0,30.0,,1,2,0,0,0.0
209,1,1.194023292,49,2,0.473293345,3500.0,3,3,1,1,3.0
210,0,0.486872899,44,1,2.115093039,1450.0,9,0,1,0,0.0
211,0,0.171845276,40,0,3390.0,,3,0,1,0,1.0
212,1,1.053814311,61,3,0.48290804,6230.0,12,2,2,1,0.0
213,0,0.535728021,71,0,2571.0,,6,0,1,0,0.0
214,0,0.9742379,27,1,1.515806988,600.0,5,0,0,0,0.0
215,1,0.003037997,40,1,0.370525637,3100.0,15,0,1,1,0.0
216,0,0.036107572,68,0,0.022651318,2692.0,6,0,0,0,0.0
217,0,0.0,53,0,0.256738988,6083.0,9,0,2,0,0.0
218,0,0.225225846,70,0,0.18750764,8180.0,5,0,1,0,0.0
219,1,0.9999999,42,1,0.571473207,6400.0,4,0,2,0,2.0
220,0,0.9999999,24,0,0.0,,0,0,0,0,
221,1,0.749287749,52,1,0.460643519,5500.0,5,1,1,0,0.0
222,0,0.117564069,45,0,0.395920816,5000.0,14,0,1,0,1.0
223,1,0.137867179,76,2,0.073369332,11666.0,10,0,1,0,1.0
224,1,0.004277434,90,3,23.0,,24,0,0,0,0.0
225,1,0.9999999,37,1,596.0,,4,0,0,0,0.0
226,1,0.039289264,41,2,2198.0,,15,0,1,1,0.0
227,0,0.015816744,69,0,0.598343685,2414.0,10,0,1,0,0.0
228,1,0.772330346,66,1,0.667166417,2667.0,14,0,1,1,0.0
229,1,1.215406562,55,1,0.017041581,4400.0,2,1,0,0,1.0
230,0,0.113957669,39,1,8212.0,,7,0,2,0,0.0
231,1,0.0,38,0,0.114563631,3700.0,2,0,0,0,3.0
232,0,0.295072021,30,1,1.300606926,2800.0,10,0,2,0,0.0
233,0,0.0,62,0,0.06485464,83000.0,10,0,4,0,0.0
234,0,0.063581567,52,0,0.45938061,4455.0,6,0,1,0,0.0
235,0,0.289494137,64,0,0.53200311,7717.0,10,0,2,0,1.0
236,1,0.701350454,48,2,0.331333733,5000.0,14,0,1,0,1.0
237,0,0.673252799,47,0,0.258744553,8490.0,9,0,1,0,4.0
238,1,1.563020544,61,3,0.219760831,5100.0,7,3,0,4,0.0
239,0,0.359264074,51,0,0.200388475,3088.0,4,0,0,0,0.0
240,0,0.890164393,37,1,0.100767692,15500.0,3,0,0,0,0.0
241,1,0.007748063,59,0,1566.0,,7,1,2,0,2.0
242,1,0.40288729,47,1,4469.0,,10,0,2,0,0.0
243,1,0.773786978,51,1,2011.0,,20,0,1,0,
244,0,0.9999999,49,0,5370.0,,10,1,3,0,2.0
245,0,0.00641252,78,0,0.001874609,4800.0,8,0,0,0,0.0
246,0,0.028863237,53,0,0.170948266,8446.0,11,0,2,0,0.0
247,0,0.010768854,82,0,0.000906801,9924.0,6,0,0,0,0.0
248,1,0.640058527,39,0,0.055984556,9841.0,9,0,0,0,2.0
249,0,0.365612917,62,0,0.184421182,9743.0,11,0,0,0,0.0
250,0,0.009188998,54,0,0.299031707,10533.0,7,0,1,0,1.0
251,1,0.800796813,41,0,104.0,0.0,3,0,0,0,3.0
252,1,1.525896414,57,1,133.0,,1,1,0,0,0.0
253,0,0.956844377,47,0,0.327719594,19000.0,6,0,4,0,2.0
254,1,0.245186494,40,1,0.40583282,4868.0,7,1,1,0,2.0
255,1,1.15786776,42,0,0.043935806,3800.0,6,3,0,3,2.0
256,0,0.13291126,55,0,0.251687078,4000.0,9,0,1,0,0.0
257,1,0.051134134,48,0,0.4029036,8609.0,13,0,1,0,4.0
258,1,0.02279772,48,4,1.347150259,1350.0,11,0,2,0,0.0
259,1,0.9999999,61,0,0.016959878,7900.0,1,1,0,0,0.0
260,1,0.97624016,61,1,0.7646582,3700.0,5,2,0,1,2.0
261,1,0.063049313,94,1,20809.0,0.0,13,1,0,1,0.0
262,1,0.941670555,32,3,0.187953012,4000.0,10,0,0,1,0.0
263,0,0.026167982,62,0,0.04787672,8500.0,8,0,1,0,2.0
264,1,0.752234316,47,0,0.443575419,2684.0,10,0,1,0,2.0
265,1,0.9999999,53,98,0.0,1900.0,0,98,0,98,0.0
266,0,0.535206703,37,0,0.389136905,5375.0,12,0,0,0,0.0
267,1,1.03379662,60,1,2.646128226,1200.0,5,1,3,2,2.0
268,0,0.185974958,51,0,0.031610521,4333.0,5,0,0,0,2.0
269,0,0.039403824,59,0,49.0,0.0,4,0,0,0,0.0
270,1,1.474735605,53,2,0.038387186,3620.0,4,0,0,0,1.0
271,0,0.966754156,71,0,0.402515723,2702.0,6,0,0,0,0.0
272,1,1.027420737,42,0,0.213957209,5000.0,3,4,0,0,1.0
273,0,0.939312438,39,0,0.5044995,9000.0,10,0,2,0,2.0
274,0,0.25684592,72,0,0.136929461,8916.0,10,0,0,1,0.0
275,1,0.0,67,0,2198.0,,7,0,3,0,0.0
276,1,1.016611296,29,0,0.007438017,1209.0,1,0,0,0,0.0
277,0,0.954941591,49,0,0.825672646,3567.0,18,0,1,0,0.0
278,1,0.974010396,63,0,0.902138691,1542.0,5,0,1,1,1.0
279,1,0.994424149,69,2,1895.0,,4,0,1,0,0.0
280,0,0.658456199,68,0,0.43077315,7850.0,10,0,0,0,0.0
281,1,0.9999999,30,0,0.024180423,4300.0,7,1,0,0,1.0
282,1,0.553047404,26,0,0.815884477,3600.0,9,0,1,0,0.0
283,0,0.01196252,64,0,2017.0,,6,0,1,0,0.0
284,1,0.945039258,47,0,0.139323287,3516.0,6,10,0,0,2.0
285,1,0.019947813,51,0,0.531446855,10000.0,26,0,3,0,3.0
286,1,0.349301868,60,0,0.265962005,7000.0,14,0,0,0,2.0
287,1,0.508659792,38,0,0.954120346,5666.0,16,0,2,0,1.0
288,1,0.959195234,34,0,0.365684372,17000.0,9,0,2,0,0.0
289,0,0.289810161,56,0,0.297808977,4700.0,5,0,1,0,0.0
290,0,0.0,79,0,0.0,,4,0,0,0,
291,0,0.019692206,61,0,0.0822,9999.0,6,0,1,0,2.0
292,1,0.952859014,53,2,0.508998,4500.0,26,0,1,2,2.0
293,0,0.025350563,61,0,0.04854831,2100.0,19,0,0,0,0.0
294,1,1.064895598,50,2,0.501596517,3444.0,7,0,1,2,3.0
295,1,0.647633859,28,3,0.2,3294.0,9,0,0,1,0.0
296,0,0.016969183,76,0,0.004847016,3300.0,6,0,0,0,0.0
297,0,0.0,53,0,0.597616865,12000.0,6,0,2,0,2.0
298,0,0.046996177,55,0,0.288673943,15300.0,11,0,2,0,0.0
299,0,0.0,63,0,0.144233273,3840.0,5,0,1,0,0.0
300,1,1.67179093,73,1,0.406831436,3600.0,6,5,2,1,0.0
301,0,0.002668273,47,1,0.519478938,8213.0,5,0,1,0,3.0
302,0,0.022458098,42,0,0.206541923,7000.0,12,0,2,0,2.0
303,0,0.488401757,59,0,0.32528578,10934.0,10,0,2,0,1.0
304,1,0.03491279,52,0,0.14856661,5929.0,6,0,1,0,0.0
305,1,0.937578027,41,2,0.282835302,1438.0,5,0,0,0,0.0
306,0,0.115360102,75,0,1477.0,0.0,6,0,1,0,0.0
307,0,0.015153433,55,0,0.011994003,2000.0,5,0,0,0,0.0
308,1,0.7684664,38,0,1.012037316,3322.0,6,0,1,0,0.0
309,0,0.05196243,76,0,2362.0,,8,0,2,0,0.0
310,1,0.055523612,50,0,0.182337539,4200.0,6,0,0,0,4.0
311,1,0.9999999,26,0,0.003740648,801.0,0,1,0,0,0.0
312,1,0.9999999,53,2,0.027643807,8500.0,3,0,0,0,2.0
313,1,1.025906147,72,0,3948.0,,8,2,3,1,0.0
314,0,0.079757114,72,0,619.0,,3,0,0,0,2.0
315,0,0.012738854,38,1,0.461107047,4100.0,8,0,1,0,2.0
316,0,0.9999999,22,0,0.0,800.0,1,0,0,0,0.0
317,0,0.495040495,45,0,0.882996354,6033.0,8,0,2,0,2.0
318,0,0.098766205,67,0,0.652658885,3854.0,15,0,2,0,0.0
319,1,0.407626126,49,0,0.832055981,3000.0,11,0,1,0,0.0
320,0,0.013458146,54,0,0.247986223,18000.0,11,0,1,0,2.0
321,0,0.1394877,68,0,0.268910363,3000.0,6,0,0,0,0.0
322,0,0.086021505,56,0,0.510088415,4410.0,12,0,1,0,1.0
323,0,0.060039033,45,0,0.710885681,5125.0,10,0,3,0,0.0
324,1,0.9999999,47,2,6466.0,,8,0,2,1,2.0
325,1,1.053406239,39,0,0.312601088,6800.0,20,0,1,0,2.0
326,0,0.729211798,48,0,0.393338954,2371.0,4,0,1,0,2.0
327,1,0.010889665,37,0,0.286315199,3565.0,4,0,1,0,2.0
328,1,0.641476446,39,1,0.623857956,5800.0,11,0,1,0,0.0
329,1,0.385843489,51,0,0.170408887,4230.0,9,0,1,0,0.0
330,1,0.368373252,47,0,0.189824814,12500.0,12,0,0,0,0.0
331,1,0.942316929,56,0,0.435841512,2750.0,5,0,0,0,0.0
332,1,1.109780439,32,0,0.066583437,2402.0,2,0,0,0,0.0
333,0,0.094259578,39,0,2.232767233,1000.0,18,0,0,0,0.0
334,0,0.913534498,41,0,1593.0,,9,0,0,0,3.0
335,1,0.03815551,75,0,830.0,,7,0,0,0,
336,0,0.688312081,51,0,0.341639044,8748.0,21,0,2,0,0.0
337,0,0.0,25,0,0.178259059,2400.0,4,0,0,0,0.0
338,0,0.0,58,0,0.473368434,8166.0,14,0,2,0,0.0
339,1,0.13893399,52,1,0.214771364,7500.0,9,0,1,0,1.0
340,0,0.046096383,60,0,0.29261301,4534.0,12,0,2,0,0.0
341,0,0.9999999,41,0,1633.0,,5,0,1,0,0.0
342,1,0.023198103,33,0,0.398042075,4800.0,5,0,1,0,1.0
343,0,0.798839307,50,0,0.332575327,1758.0,4,0,0,0,0.0
344,1,0.967074033,54,0,709.0,,5,2,0,0,0.0
345,1,0.622289402,60,2,0.631648142,8366.0,13,2,1,1,0.0
346,1,1.146596859,22,0,0.099785408,1863.0,6,1,0,0,0.0
347,0,0.069780898,56,1,0.479061725,13300.0,11,0,2,0,1.0
348,0,0.332304137,47,0,0.228251977,11000.0,6,0,1,0,2.0
349,1,0.851005275,62,0,0.40008726,4583.0,7,0,1,0,0.0
350,1,0.9999999,32,1,29.0,,2,1,0,0,0.0
351,1,0.038247447,46,0,0.273454424,6000.0,11,0,1,1,2.0
352,0,0.968611234,52,0,1300.0,,8,0,0,1,2.0
353,0,0.049761208,70,0,1.119094045,6666.0,20,0,4,0,0.0
354,1,0.382032525,74,2,1.268650947,2586.0,16,2,2,0,1.0
355,1,0.9999999,37,0,0.229272194,3750.0,3,3,1,0,3.0
356,0,0.9999999,42,0,0.0,5871.0,0,0,0,0,3.0
357,0,0.003894686,90,0,876.0,,11,0,1,0,0.0
358,0,0.003690794,82,0,0.027577938,2501.0,18,0,0,0,0.0
359,0,0.293962569,61,0,1899.0,,8,0,1,0,2.0
360,1,0.9999999,56,1,288.0,,1,3,1,0,0.0
361,0,1.038329341,45,2,0.089597369,18850.0,8,0,1,0,2.0
362,0,0.0,63,0,0.0,,10,0,0,0,0.0
363,0,0.028684116,66,0,0.381070272,5250.0,12,0,2,0,0.0
364,0,0.02728166,42,0,377.0,,4,0,0,0,0.0
365,1,0.609456507,62,2,0.83831592,9666.0,19,4,2,0,3.0
366,1,0.68303962,64,0,0.678762641,6723.0,6,0,2,0,0.0
367,1,0.449930234,45,4,0.58591873,9572.0,20,0,3,1,2.0
368,0,0.070730059,48,0,5467.0,,18,0,2,0,0.0
369,0,0.155182438,50,1,0.232892237,30000.0,7,0,2,0,4.0
370,1,0.972839736,37,0,0.21335751,3308.0,7,1,0,0,2.0
371,0,0.430599451,56,0,0.729476818,2350.0,9,0,1,3,0.0
372,0,0.015043508,56,0,0.292165696,9100.0,16,0,1,0,0.0
373,1,0.158116285,53,1,0.608894391,10500.0,18,1,4,0,2.0
374,1,0.105131582,60,1,1.315835906,6800.0,11,0,4,0,0.0
375,0,0.185413374,53,0,1889.0,,5,0,1,0,1.0
376,0,0.411793225,30,0,0.267247536,7000.0,7,0,1,0,3.0
377,1,0.011102147,77,0,0.016393443,2500.0,7,0,0,0,0.0
378,1,1.006967586,68,0,984.0,,7,0,1,1,2.0
379,1,0.943505649,38,2,0.299500076,6600.0,6,0,1,2,1.0
380,1,0.966229627,33,0,0.419944007,7500.0,16,0,2,0,0.0
381,1,11.38522954,37,0,0.821642824,4333.0,9,0,3,1,0.0
